month_of_year,date,aqi,year,day_of_month,P95,P5,P20,P40,P60,P80,smokiness
1,1/1/14,54,2014,1,88,30,41,50,58,70,4
1,2/1/14,105,2014,2,88,30,41,50,58,70,7
1,3/1/14,81,2014,3,88,30,41,50,58,70,6
1,4/1/14,67,2014,4,88,30,41,50,58,70,5
1,5/1/14,75,2014,5,88,30,41,50,58,70,6
1,6/1/14,55,2014,6,88,30,41,50,58,70,4
1,7/1/14,43,2014,7,88,30,41,50,58,70,3
1,8/1/14,28,2014,8,88,30,41,50,58,70,1
1,9/1/14,29,2014,9,88,30,41,50,58,70,1
1,10/1/14,34,2014,10,88,30,41,50,58,70,2
1,11/1/14,69,2014,11,88,30,41,50,58,70,5
1,12/1/14,48,2014,12,88,30,41,50,58,70,3
1,13/1/14,48,2014,13,88,30,41,50,58,70,3
1,14/1/14,55,2014,14,88,30,41,50,58,70,4
1,15/1/14,50,2014,15,88,30,41,50,58,70,3
1,16/1/14,50,2014,16,88,30,41,50,58,70,3
1,17/1/14,41,2014,17,88,30,41,50,58,70,2
1,18/1/14,64,2014,18,88,30,41,50,58,70,5
1,19/1/14,57,2014,19,88,30,41,50,58,70,4
1,20/1/14,34,2014,20,88,30,41,50,58,70,2
1,21/1/14,42,2014,21,88,30,41,50,58,70,3
1,22/1/14,49,2014,22,88,30,41,50,58,70,3
1,23/1/14,49,2014,23,88,30,41,50,58,70,3
1,24/1/14,40,2014,24,88,30,41,50,58,70,2
1,25/1/14,50,2014,25,88,30,41,50,58,70,3
1,26/1/14,32,2014,26,88,30,41,50,58,70,2
1,27/1/14,36,2014,27,88,30,41,50,58,70,2
1,28/1/14,47,2014,28,88,30,41,50,58,70,3
1,29/1/14,62,2014,29,88,30,41,50,58,70,5
1,30/1/14,45,2014,30,88,30,41,50,58,70,3
1,31/1/14,56,2014,31,88,30,41,50,58,70,4
1,31/1/15,46,2015,31,88,30,41,50,58,70,3
1,31/1/16,51,2016,31,88,30,41,50,58,70,4
1,30/1/17,76,2017,30,88,30,41,50,58,70,6
1,31/1/17,86,2017,31,88,30,41,50,58,70,6
1,31/1/18,47,2018,31,88,30,41,50,58,70,3
1,31/1/19,88,2019,31,88,30,41,50,58,70,6
1,30/1/19,82,2019,30,88,30,41,50,58,70,6
1,29/1/19,62,2019,29,88,30,41,50,58,70,5
1,26/1/19,105,2019,26,88,30,41,50,58,70,7
1,25/1/19,78,2019,25,88,30,41,50,58,70,6
1,12/1/15,33,2015,12,88,30,41,50,58,70,2
1,13/1/15,47,2015,13,88,30,41,50,58,70,3
1,1/1/15,71,2015,1,88,30,41,50,58,70,6
1,2/1/15,75,2015,2,88,30,41,50,58,70,6
1,3/1/15,50,2015,3,88,30,41,50,58,70,3
1,4/1/15,73,2015,4,88,30,41,50,58,70,6
1,5/1/15,59,2015,5,88,30,41,50,58,70,5
1,6/1/15,35,2015,6,88,30,41,50,58,70,2
1,7/1/15,30,2015,7,88,30,41,50,58,70,1
1,8/1/15,51,2015,8,88,30,41,50,58,70,4
1,9/1/15,70,2015,9,88,30,41,50,58,70,5
1,10/1/15,57,2015,10,88,30,41,50,58,70,4
1,11/1/15,40,2015,11,88,30,41,50,58,70,2
1,25/1/15,62,2015,25,88,30,41,50,58,70,5
1,26/1/15,42,2015,26,88,30,41,50,58,70,3
1,14/1/15,57,2015,14,88,30,41,50,58,70,4
1,15/1/15,70,2015,15,88,30,41,50,58,70,5
1,16/1/15,62,2015,16,88,30,41,50,58,70,5
1,17/1/15,70,2015,17,88,30,41,50,58,70,5
1,18/1/15,60,2015,18,88,30,41,50,58,70,5
1,19/1/15,52,2015,19,88,30,41,50,58,70,4
1,20/1/15,39,2015,20,88,30,41,50,58,70,2
1,21/1/15,51,2015,21,88,30,41,50,58,70,4
1,22/1/15,48,2015,22,88,30,41,50,58,70,3
1,23/1/15,56,2015,23,88,30,41,50,58,70,4
1,24/1/15,49,2015,24,88,30,41,50,58,70,3
1,8/1/16,39,2016,8,88,30,41,50,58,70,2
1,9/1/16,56,2016,9,88,30,41,50,58,70,4
1,27/1/15,27,2015,27,88,30,41,50,58,70,1
1,28/1/15,30,2015,28,88,30,41,50,58,70,1
1,29/1/15,33,2015,29,88,30,41,50,58,70,2
1,30/1/15,38,2015,30,88,30,41,50,58,70,2
1,30/1/16,45,2016,30,88,30,41,50,58,70,3
1,29/1/17,54,2017,29,88,30,41,50,58,70,4
1,29/1/18,50,2018,29,88,30,41,50,58,70,3
1,30/1/18,49,2018,30,88,30,41,50,58,70,3
1,28/1/19,50,2019,28,88,30,41,50,58,70,3
1,27/1/19,87,2019,27,88,30,41,50,58,70,6
1,24/1/19,67,2019,24,88,30,41,50,58,70,5
1,21/1/16,95,2016,21,88,30,41,50,58,70,7
1,22/1/16,48,2016,22,88,30,41,50,58,70,3
1,10/1/16,43,2016,10,88,30,41,50,58,70,3
1,11/1/16,88,2016,11,88,30,41,50,58,70,6
1,12/1/16,64,2016,12,88,30,41,50,58,70,5
1,13/1/16,57,2016,13,88,30,41,50,58,70,4
1,1/1/16,87,2016,1,88,30,41,50,58,70,6
1,2/1/16,39,2016,2,88,30,41,50,58,70,2
1,3/1/16,48,2016,3,88,30,41,50,58,70,3
1,4/1/16,54,2016,4,88,30,41,50,58,70,4
1,5/1/16,54,2016,5,88,30,41,50,58,70,4
1,6/1/16,42,2016,6,88,30,41,50,58,70,3
1,7/1/16,38,2016,7,88,30,41,50,58,70,2
1,3/1/17,34,2017,3,88,30,41,50,58,70,2
1,4/1/17,25,2017,4,88,30,41,50,58,70,1
1,23/1/16,40,2016,23,88,30,41,50,58,70,2
1,24/1/16,70,2016,24,88,30,41,50,58,70,5
1,25/1/16,60,2016,25,88,30,41,50,58,70,5
1,26/1/16,42,2016,26,88,30,41,50,58,70,3
1,14/1/16,95,2016,14,88,30,41,50,58,70,7
1,15/1/16,35,2016,15,88,30,41,50,58,70,2
1,16/1/16,28,2016,16,88,30,41,50,58,70,1
1,17/1/16,26,2016,17,88,30,41,50,58,70,1
1,18/1/16,41,2016,18,88,30,41,50,58,70,2
1,19/1/16,78,2016,19,88,30,41,50,58,70,6
1,20/1/16,85,2016,20,88,30,41,50,58,70,6
1,16/1/17,58,2017,16,88,30,41,50,58,70,4
1,17/1/17,98,2017,17,88,30,41,50,58,70,7
1,5/1/17,27,2017,5,88,30,41,50,58,70,1
1,6/1/17,25,2017,6,88,30,41,50,58,70,1
1,7/1/17,29,2017,7,88,30,41,50,58,70,1
1,8/1/17,58,2017,8,88,30,41,50,58,70,4
1,27/1/16,33,2016,27,88,30,41,50,58,70,2
1,28/1/16,62,2016,28,88,30,41,50,58,70,5
1,29/1/16,48,2016,29,88,30,41,50,58,70,3
1,28/1/17,64,2017,28,88,30,41,50,58,70,5
1,28/1/18,55,2018,28,88,30,41,50,58,70,4
1,27/1/18,55,2018,27,88,30,41,50,58,70,4
1,26/1/18,41,2018,26,88,30,41,50,58,70,2
1,23/1/19,68,2019,23,88,30,41,50,58,70,5
1,13/1/18,51,2018,13,88,30,41,50,58,70,4
1,18/1/17,66,2017,18,88,30,41,50,58,70,5
1,19/1/17,59,2017,19,88,30,41,50,58,70,5
1,20/1/17,62,2017,20,88,30,41,50,58,70,5
1,21/1/17,44,2017,21,88,30,41,50,58,70,3
1,9/1/17,63,2017,9,88,30,41,50,58,70,5
1,10/1/17,66,2017,10,88,30,41,50,58,70,5
1,11/1/17,111,2017,11,88,30,41,50,58,70,7
1,12/1/17,52,2017,12,88,30,41,50,58,70,4
1,13/1/17,80,2017,13,88,30,41,50,58,70,6
1,1/1/17,45,2017,1,88,30,41,50,58,70,3
1,2/1/17,42,2017,2,88,30,41,50,58,70,3
1,12/1/18,54,2018,12,88,30,41,50,58,70,4
1,9/1/19,52,2019,9,88,30,41,50,58,70,4
1,1/1/18,55,2018,1,88,30,41,50,58,70,4
1,2/1/18,46,2018,2,88,30,41,50,58,70,3
1,3/1/18,48,2018,3,88,30,41,50,58,70,3
1,4/1/18,40,2018,4,88,30,41,50,58,70,2
1,22/1/17,51,2017,22,88,30,41,50,58,70,4
1,23/1/17,63,2017,23,88,30,41,50,58,70,5
1,24/1/17,59,2017,24,88,30,41,50,58,70,5
1,25/1/17,69,2017,25,88,30,41,50,58,70,5
1,26/1/17,55,2017,26,88,30,41,50,58,70,4
1,14/1/17,60,2017,14,88,30,41,50,58,70,5
1,15/1/17,65,2017,15,88,30,41,50,58,70,5
1,22/1/19,79,2019,22,88,30,41,50,58,70,6
1,17/1/18,53,2018,17,88,30,41,50,58,70,4
1,14/1/18,42,2018,14,88,30,41,50,58,70,3
1,15/1/18,42,2018,15,88,30,41,50,58,70,3
1,16/1/18,66,2018,16,88,30,41,50,58,70,5
1,8/1/18,81,2018,8,88,30,41,50,58,70,6
1,5/1/18,51,2018,5,88,30,41,50,58,70,4
1,6/1/18,74,2018,6,88,30,41,50,58,70,6
