"","df.location","df.parameter","df.value","df.unit","df.country","df.city","date","averagingPeriod"
"1","North Ward","pm25",4.6,"µg/m³","AU","Townsville","2019-09-30T00:00:00.000Z",1
"13","Blackwater","pm25",7.5,"µg/m³","AU","Central Queensland","2019-09-30T00:00:00.000Z",1
"14","Fisherman's Landing","pm25",27.5,"µg/m³","AU","Gladstone","2019-09-30T00:00:00.000Z",1
"15","Clinton","pm25",32,"µg/m³","AU","Gladstone","2019-09-30T00:00:00.000Z",1
"16","South Gladstone","pm25",17.8,"µg/m³","AU","Gladstone","2019-09-30T00:00:00.000Z",1
"17","Boat Creek","pm25",33.2,"µg/m³","AU","Gladstone","2019-09-30T00:00:00.000Z",1
"18","Targinie","pm25",35.3,"µg/m³","AU","Gladstone","2019-09-30T00:00:00.000Z",1
"19","Boyne Island","pm25",18.3,"µg/m³","AU","Gladstone","2019-09-30T00:00:00.000Z",1
"20","Rocklea","pm25",8,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"21","Southport","pm25",5.4,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"22","Woolloongabba","pm25",10.1,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"23","Springwood","pm25",6.6,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"24","South Brisbane","pm25",9.4,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"25","Wynnum West","pm25",5.5,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"26","Lytton","pm25",7.4,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"27","Wynnum","pm25",6.6,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"28","Cannon Hill","pm25",8.4,"µg/m³","AU","South East Queensland","2019-09-30T00:00:00.000Z",1
"29","Hopeland","pm25",4.4,"µg/m³","AU","South West Queensland","2019-09-30T00:00:00.000Z",1
"30","Miles Airport","pm25",-1111,"µg/m³","AU","South West Queensland","2019-09-30T00:00:00.000Z",1
"32","Upper Humbug","pm25",4.4,"µg/m³","AU","South West Queensland","2019-09-30T00:00:00.000Z",1
"33","Upper Humbug","pm25",4.5,"µg/m³","AU","South West Queensland","2019-09-29T23:00:00.000Z",1
"46","Blackwater","pm25",7.5,"µg/m³","AU","Central Queensland","2019-09-29T23:00:00.000Z",1
"47","Fisherman's Landing","pm25",29,"µg/m³","AU","Gladstone","2019-09-29T23:00:00.000Z",1
"48","Clinton","pm25",34.5,"µg/m³","AU","Gladstone","2019-09-29T23:00:00.000Z",1
"49","South Gladstone","pm25",18.8,"µg/m³","AU","Gladstone","2019-09-29T23:00:00.000Z",1
